"Año","Campeon","Subcampeón","Máximo.goleador","Goles","Cant..Equipos"
"1933","Magallanes ","Colo-Colo","Luis Carvallo (Colo-Colo)",9,8
"1934","Magallanes ","Audax Italiano","Carlos Giudice (Audax Italiano)",19,12
"1935","Magallanes ","Audax Italiano","Guillermo Ogaz (Magallanes)",12,6
"1936","Audax Italiano ","Magallanes","Hernán Bolaños (Audax Italiano)",14,6
"1937","Colo-Colo ","Magallanes","Hernán Bolaños (Audax Italiano)",16,7
"1938","Magallanes ","Audax Italiano","Gustavo Pizarro (Badminton)",17,7
"1939","Colo-Colo ","(Santiago Morning)","Alfonso Domínguez (Colo-Colo)",32,10
"1940","Universidad de Chile ","Audax Italiano","Víctor Alonso (Universidad de Chile) Pedro Valenzuela (Magallanes)",20,10
"1941","Colo-Colo ","Santiago Morning","José Profetta (Santiago National)",19,10
"1942","Santiago Morning ","Magallanes","Domingo Romo (Santiago Morning)",16,10
"1943","Unión Española ","Colo-Colo","Luis Machuca (Unión Española) Víctor Mancilla (Universidad Católica)",17,10
"1944","Colo-Colo ","Audax Italiano","Alfonso Domínguez (Colo-Colo) Juan Alcántara (Audax Italiano)",19,12
"1945","Green Cross ","Unión Española","Hugo Giorgi (Audax Italiano) Juan Zárate (Green Cross) Ubaldo Cruche (Universidad de Chile)",17,12
"1946","Audax Italiano ","Magallanes","Ubaldo Cruche (Universidad de Chile)",25,13
"1947","Colo-Colo ","Audax Italiano","Apolonides Vera (Uantiago National)",17,13
"1948","Audax Italiano ","Unión Española","Juan Zárate (Audax Italiano)",22,13
"1949","Universidad Católica ","Santiago Wanderers","Mario Lorca (Unión Española)",20,12
"1950","Everton ","Unión Española","Félix Díaz (Green Cross)",21,12
"1951","Unión Española ","Audax Italiano","Carlos Tello (Audax Italiano) Rubén Aguilera (Santiago Morning)",21,12
"1952","Everton ","Colo-Colo","René Meléndez (Everton)",30,12
"1953","Colo-Colo ","Palestino","Jorge Robledo (Colo-Colo)",26,14
"1954","Universidad Católica ","Colo-Colo","Jorge Robledo (Colo-Colo)",25,14
"1955","Palestino ","Colo-Colo","Nicolás Moreno (Green Cross)",27,14
"1956","Colo-Colo ","Santiago Wanderers","Guillermo Villarroel (O'Higgins)",19,14
"1957","Audax Italiano ","Universidad de Chile","Gustavo Albella (Green Cross)",27,14
